,is_used_opportunity,transfered_date,start_datetime,end_datetime,origin,duration
155,1.0,9901,1811872695.253,1811872714.59,Russia-KinoSat_110301,19.336999893188477
156,1.0,-1703,1811872714.59,1811872727.891,Moscow-KinoSat_110301,13.301000118255615
157,1.0,-6400,1811872727.891,1811872777.891,Moscow-KinoSat_110301,50.0
158,1.0,-1798,1811872777.891,1811872827.891,Moscow-KinoSat_110301,50.0
164,0.0,0,1811872727.891,1811872777.891,Russia-KinoSat_110301,50.0
165,0.0,0,1811872777.891,1811872827.891,Russia-KinoSat_110301,50.0
166,0.0,0,1811872827.891,1811872877.891,Russia-KinoSat_110301,50.0
167,0.0,0,1811872877.891,1811872927.891,Russia-KinoSat_110301,50.0
168,0.0,0,1811872927.891,1811872977.891,Russia-KinoSat_110301,50.0
169,0.0,0,1811872977.891,1811873027.891,Russia-KinoSat_110301,50.0
170,1.0,14212,1811873027.891,1811873055.649,Russia-KinoSat_110301,27.757999897003174
171,1.0,-6400,1811873055.649,1811873105.649,Moscow-KinoSat_110301,50.0
172,1.0,-6400,1811873105.649,1811873155.649,Moscow-KinoSat_110301,50.0
173,1.0,-1412,1811873155.649,1811873205.649,Moscow-KinoSat_110301,50.0
187,0.0,0,1811878583.143,1811878633.143,Russia-KinoSat_110301,50.0
188,0.0,0,1811878633.143,1811878683.143,Russia-KinoSat_110301,50.0
189,0.0,0,1811878683.143,1811878733.143,Russia-KinoSat_110301,50.0
190,0.0,0,1811878733.143,1811878783.143,Russia-KinoSat_110301,50.0
191,0.0,0,1811878783.143,1811878833.143,Russia-KinoSat_110301,50.0
192,1.0,12236,1811878833.143,1811878857.041,Russia-KinoSat_110301,23.89800000190735
193,1.0,-6400,1811878857.041,1811878907.041,Moscow-KinoSat_110301,50.0
194,1.0,-5836,1811878907.041,1811878957.041,Moscow-KinoSat_110301,50.0
200,0.0,0,1811883583.954,1811883633.954,Russia-KinoSat_110301,50.0
201,0.0,0,1811883633.954,1811883683.954,Russia-KinoSat_110301,50.0
202,0.0,0,1811883683.954,1811883733.954,Russia-KinoSat_110301,50.0
203,1.0,3556,1811883733.954,1811883740.899,Russia-KinoSat_110301,6.944999933242798
204,1.0,-3556,1811884171.187,1811884221.187,Moscow-KinoSat_110301,50.0
218,0.0,0,1811889367.594,1811889417.594,Russia-KinoSat_110301,50.0
219,0.0,0,1811889417.594,1811889467.594,Russia-KinoSat_110301,50.0
220,0.0,0,1811889467.594,1811889517.594,Russia-KinoSat_110301,50.0
221,0.0,0,1811889517.594,1811889567.594,Russia-KinoSat_110301,50.0
222,1.0,7601,1811889567.594,1811889582.44,Russia-KinoSat_110301,14.845999956130981
223,1.0,-6400,1811889985.473,1811890035.473,Moscow-KinoSat_110301,50.0
224,1.0,-1201,1811890035.473,1811890085.473,Moscow-KinoSat_110301,50.0
230,0.0,0,1811895012.076,1811895062.076,Russia-KinoSat_110301,50.0
231,0.0,0,1811895062.076,1811895112.076,Russia-KinoSat_110301,50.0
232,0.0,0,1811895112.076,1811895162.076,Russia-KinoSat_110301,50.0
233,0.0,0,1811895162.076,1811895212.076,Russia-KinoSat_110301,50.0
234,0.0,0,1811895212.076,1811895262.076,Russia-KinoSat_110301,50.0
235,0.0,0,1811895262.076,1811895312.076,Russia-KinoSat_110301,50.0
236,0.0,0,1811895312.076,1811895362.076,Russia-KinoSat_110301,50.0
237,0.0,0,1811895362.076,1811895412.076,Russia-KinoSat_110301,50.0
238,0.0,0,1811895412.076,1811895425.523,Russia-KinoSat_110301,13.44700002670288
239,0.0,0,1811895427.851,1811895477.851,Russia-KinoSat_110301,50.0
240,1.0,5429,1811895477.851,1811895488.455,Russia-KinoSat_110301,10.603999853134155
241,0.0,0,1811900835.148,1811900885.148,Russia-KinoSat_110301,50.0
242,0.0,0,1811900885.148,1811900935.148,Russia-KinoSat_110301,50.0
243,0.0,0,1811900935.148,1811900985.148,Russia-KinoSat_110301,50.0
244,0.0,0,1811900985.148,1811901035.148,Russia-KinoSat_110301,50.0
245,0.0,0,1811901035.148,1811901085.148,Russia-KinoSat_110301,50.0
246,0.0,0,1811901085.148,1811901135.148,Russia-KinoSat_110301,50.0
247,0.0,0,1811901135.148,1811901185.148,Russia-KinoSat_110301,50.0
248,0.0,0,1811901185.148,1811901235.148,Russia-KinoSat_110301,50.0
249,1.0,1600,1811901235.148,1811901238.272,Russia-KinoSat_110301,3.124000072479248
250,1.0,22776,1811906652.048,1811906696.533,Russia-KinoSat_110301,44.484999895095825
251,1.0,-6400,1811906696.533,1811906746.533,Moscow-KinoSat_110301,50.0
252,1.0,-6400,1811906746.533,1811906796.533,Moscow-KinoSat_110301,50.0
253,1.0,-6400,1811906796.533,1811906846.533,Moscow-KinoSat_110301,50.0
254,1.0,-6400,1811906846.533,1811906896.533,Moscow-KinoSat_110301,50.0
255,1.0,-2579,1811906896.533,1811906916.683,Moscow-KinoSat_110301,20.15000009536743
256,0.0,0,1811906696.533,1811906746.533,Russia-KinoSat_110301,50.0
257,0.0,0,1811906746.533,1811906796.533,Russia-KinoSat_110301,50.0
258,0.0,0,1811906796.533,1811906846.533,Russia-KinoSat_110301,50.0
259,0.0,0,1811906846.533,1811906896.533,Russia-KinoSat_110301,50.0
260,1.0,10317,1811906896.533,1811906916.683,Russia-KinoSat_110301,20.15000009536743
261,1.0,-123,1811906916.683,1811906917.639,Moscow-KinoSat_110301,0.9559998512268066
262,1.0,-4497,1811906917.639,1811906952.777,Moscow-KinoSat_110301,35.13800001144409
263,1.0,17990,1811906917.639,1811906952.777,Russia-KinoSat_110301,35.13800001144409
264,1.0,-6400,1811906952.777,1811907002.777,Moscow-KinoSat_110301,50.0
265,1.0,-6400,1811907002.777,1811907052.777,Moscow-KinoSat_110301,50.0
266,1.0,-6400,1811907052.777,1811907102.777,Moscow-KinoSat_110301,50.0
267,1.0,-6113,1811907102.777,1811907152.777,Moscow-KinoSat_110301,50.0
281,0.0,0,1811912457.781,1811912507.781,Russia-KinoSat_110301,50.0
282,0.0,0,1811912507.781,1811912557.781,Russia-KinoSat_110301,50.0
283,0.0,0,1811912557.781,1811912607.781,Russia-KinoSat_110301,50.0
284,0.0,0,1811912607.781,1811912657.781,Russia-KinoSat_110301,50.0
285,0.0,0,1811912657.781,1811912707.781,Russia-KinoSat_110301,50.0
286,0.0,0,1811912707.781,1811912757.781,Russia-KinoSat_110301,50.0
287,1.0,3763,1811912757.781,1811912765.13,Russia-KinoSat_110301,7.3490002155303955
288,1.0,-3763,1811912765.13,1811912815.13,Moscow-KinoSat_110301,50.0
303,0.0,0,1811918351.639,1811918401.639,Russia-KinoSat_110301,50.0
304,1.0,2947,1811918401.639,1811918407.394,Russia-KinoSat_110301,5.755000114440918
305,1.0,-2947,1811918407.394,1811918457.394,Moscow-KinoSat_110301,50.0
323,0.0,0,1811936628.133,1811936678.133,Russia-KinoSat_110301,50.0
324,0.0,0,1811936678.133,1811936728.133,Russia-KinoSat_110301,50.0
325,0.0,0,1811936728.133,1811936763.184,Russia-KinoSat_110301,35.051000118255615
326,0.0,0,1811942384.416,1811942434.416,Russia-KinoSat_110301,50.0
327,0.0,0,1811942434.416,1811942484.416,Russia-KinoSat_110301,50.0
328,0.0,0,1811942484.416,1811942534.416,Russia-KinoSat_110301,50.0
329,0.0,0,1811942534.416,1811942584.416,Russia-KinoSat_110301,50.0
330,0.0,0,1811942584.416,1811942634.416,Russia-KinoSat_110301,50.0
331,0.0,0,1811942634.416,1811942684.416,Russia-KinoSat_110301,50.0
332,0.0,0,1811942684.416,1811942734.416,Russia-KinoSat_110301,50.0
333,0.0,0,1811942734.416,1811942776.773,Russia-KinoSat_110301,42.35700011253357
334,0.0,0,1811948186.395,1811948236.395,Russia-KinoSat_110301,50.0
335,0.0,0,1811948236.395,1811948286.395,Russia-KinoSat_110301,50.0
336,0.0,0,1811948286.395,1811948336.395,Russia-KinoSat_110301,50.0
337,0.0,0,1811948336.395,1811948386.395,Russia-KinoSat_110301,50.0
338,0.0,0,1811948386.395,1811948436.395,Russia-KinoSat_110301,50.0
339,0.0,0,1811948436.395,1811948486.395,Russia-KinoSat_110301,50.0
340,0.0,0,1811948486.395,1811948536.395,Russia-KinoSat_110301,50.0
341,0.0,0,1811948536.395,1811948574.658,Russia-KinoSat_110301,38.26300001144409
342,0.0,0,1811953924.475,1811953974.475,Russia-KinoSat_110301,50.0
343,0.0,0,1811953974.475,1811954024.475,Russia-KinoSat_110301,50.0
344,0.0,0,1811954024.475,1811954074.475,Russia-KinoSat_110301,50.0
345,0.0,0,1811954074.475,1811954124.475,Russia-KinoSat_110301,50.0
346,0.0,0,1811954124.475,1811954174.475,Russia-KinoSat_110301,50.0
347,0.0,0,1811954174.475,1811954224.475,Russia-KinoSat_110301,50.0
348,0.0,0,1811954224.475,1811954274.475,Russia-KinoSat_110301,50.0
349,0.0,0,1811954274.475,1811954324.475,Russia-KinoSat_110301,50.0
350,0.0,0,1811954324.475,1811954370.91,Russia-KinoSat_110301,46.43500018119812
354,0.0,0,1811959817.775,1811959867.775,Russia-KinoSat_110301,50.0
355,1.0,3779,1811959867.775,1811959875.155,Russia-KinoSat_110301,7.379999876022339
356,1.0,-743,1811959875.155,1811959880.957,Moscow-KinoSat_110301,5.802000045776367
357,1.0,-3036,1811959880.957,1811959930.957,Moscow-KinoSat_110301,50.0
364,0.0,0,1811959880.957,1811959930.957,Russia-KinoSat_110301,50.0
365,0.0,0,1811959930.957,1811959980.957,Russia-KinoSat_110301,50.0
366,0.0,0,1811959980.957,1811960030.957,Russia-KinoSat_110301,50.0
367,0.0,0,1811960030.957,1811960080.957,Russia-KinoSat_110301,50.0
368,0.0,0,1811960080.957,1811960130.957,Russia-KinoSat_110301,50.0
369,1.0,25600,1811960130.957,1811960180.957,Russia-KinoSat_110301,50.0
370,1.0,1370,1811960180.957,1811960183.633,Russia-KinoSat_110301,2.675999879837036
371,1.0,-6400,1811960183.633,1811960233.633,Moscow-KinoSat_110301,50.0
372,1.0,-6400,1811960233.633,1811960283.633,Moscow-KinoSat_110301,50.0
373,1.0,-6400,1811960283.633,1811960333.633,Moscow-KinoSat_110301,50.0
374,1.0,-6400,1811960333.633,1811960383.633,Moscow-KinoSat_110301,50.0
375,1.0,-1370,1811960383.633,1811960433.633,Moscow-KinoSat_110301,50.0
387,0.0,0,1811965730.242,1811965780.242,Russia-KinoSat_110301,50.0
388,0.0,0,1811965780.242,1811965830.242,Russia-KinoSat_110301,50.0
389,0.0,0,1811965830.242,1811965880.242,Russia-KinoSat_110301,50.0
390,0.0,0,1811965880.242,1811965930.242,Russia-KinoSat_110301,50.0
391,1.0,17747,1811965930.242,1811965964.905,Russia-KinoSat_110301,34.662999868392944
392,1.0,-6400,1811965964.905,1811966014.905,Moscow-KinoSat_110301,50.0
393,1.0,-6400,1811966014.905,1811966064.905,Moscow-KinoSat_110301,50.0
394,1.0,-4947,1811966064.905,1811966114.905,Moscow-KinoSat_110301,50.0
399,0.0,0,1811970708.88,1811970758.88,Russia-KinoSat_110301,50.0
400,0.0,0,1811970758.88,1811970808.88,Russia-KinoSat_110301,50.0
401,0.0,0,1811970808.88,1811970858.88,Russia-KinoSat_110301,50.0
402,1.0,16409,1811970858.88,1811970890.929,Russia-KinoSat_110301,32.04899978637695
403,1.0,-6400,1811971296.577,1811971346.577,Moscow-KinoSat_110301,50.0
404,1.0,-6400,1811971346.577,1811971396.577,Moscow-KinoSat_110301,50.0
405,1.0,-3609,1811971396.577,1811971446.577,Moscow-KinoSat_110301,50.0
416,0.0,0,1811976497.805,1811976547.805,Russia-KinoSat_110301,50.0
417,0.0,0,1811976547.805,1811976597.805,Russia-KinoSat_110301,50.0
418,0.0,0,1811976597.805,1811976647.805,Russia-KinoSat_110301,50.0
419,0.0,0,1811976647.805,1811976697.805,Russia-KinoSat_110301,50.0
420,1.0,5499,1811976697.805,1811976708.545,Russia-KinoSat_110301,10.740000009536743
421,1.0,-5499,1811977124.319,1811977174.319,Moscow-KinoSat_110301,50.0
427,0.0,0,1811982203.597,1811982253.597,Russia-KinoSat_110301,50.0
428,0.0,0,1811982253.597,1811982303.597,Russia-KinoSat_110301,50.0
429,0.0,0,1811982303.597,1811982353.597,Russia-KinoSat_110301,50.0
430,0.0,0,1811982353.597,1811982403.597,Russia-KinoSat_110301,50.0
431,0.0,0,1811982403.597,1811982453.597,Russia-KinoSat_110301,50.0
432,0.0,0,1811982453.597,1811982503.597,Russia-KinoSat_110301,50.0
433,0.0,0,1811982503.597,1811982553.597,Russia-KinoSat_110301,50.0
434,0.0,0,1811982553.597,1811982603.597,Russia-KinoSat_110301,50.0
435,1.0,3276,1811982603.597,1811982609.996,Russia-KinoSat_110301,6.39900016784668
436,0.0,0,1811987985.749,1811988035.749,Russia-KinoSat_110301,50.0
437,0.0,0,1811988035.749,1811988085.749,Russia-KinoSat_110301,50.0
438,0.0,0,1811988085.749,1811988135.749,Russia-KinoSat_110301,50.0
439,0.0,0,1811988135.749,1811988185.749,Russia-KinoSat_110301,50.0
440,0.0,0,1811988185.749,1811988235.749,Russia-KinoSat_110301,50.0
441,0.0,0,1811988235.749,1811988285.749,Russia-KinoSat_110301,50.0
442,0.0,0,1811988285.749,1811988335.749,Russia-KinoSat_110301,50.0
443,1.0,14889,1811988335.749,1811988364.829,Russia-KinoSat_110301,29.079999923706055
444,1.0,-6400,1811993780.647,1811993830.647,Moscow-KinoSat_110301,50.0
445,1.0,-370,1811993830.647,1811993833.54,Moscow-KinoSat_110301,2.8929998874664307
446,1.0,-6400,1811993833.54,1811993883.54,Moscow-KinoSat_110301,50.0
447,1.0,-4995,1811993883.54,1811993933.54,Moscow-KinoSat_110301,50.0
452,0.0,0,1811993833.54,1811993883.54,Russia-KinoSat_110301,50.0
453,0.0,0,1811993883.54,1811993933.54,Russia-KinoSat_110301,50.0
454,0.0,0,1811993933.54,1811993983.54,Russia-KinoSat_110301,50.0
455,0.0,0,1811993983.54,1811994033.54,Russia-KinoSat_110301,50.0
456,0.0,0,1811994033.54,1811994083.54,Russia-KinoSat_110301,50.0
457,1.0,9314,1811994083.54,1811994101.731,Russia-KinoSat_110301,18.19099998474121
458,1.0,-6400,1811994101.731,1811994151.731,Moscow-KinoSat_110301,50.0
459,1.0,-2914,1811994151.731,1811994201.731,Moscow-KinoSat_110301,50.0
474,0.0,0,1811999600.355,1811999650.355,Russia-KinoSat_110301,50.0
475,0.0,0,1811999650.355,1811999700.355,Russia-KinoSat_110301,50.0
476,0.0,0,1811999700.355,1811999750.355,Russia-KinoSat_110301,50.0
477,0.0,0,1811999750.355,1811999800.355,Russia-KinoSat_110301,50.0
478,1.0,25600,1811999800.355,1811999850.355,Russia-KinoSat_110301,50.0
479,1.0,1929,1811999850.355,1811999854.122,Russia-KinoSat_110301,3.7669999599456787
480,1.0,-6400,1811999854.122,1811999904.122,Moscow-KinoSat_110301,50.0
481,1.0,-6400,1811999904.122,1811999954.122,Moscow-KinoSat_110301,50.0
482,1.0,-6400,1811999954.122,1812000004.122,Moscow-KinoSat_110301,50.0
483,1.0,-6400,1812000004.122,1812000054.122,Moscow-KinoSat_110301,50.0
484,1.0,-1929,1812000054.122,1812000075.517,Moscow-KinoSat_110301,21.394999980926514
511,0.0,0,1812023752.69,1812023802.69,Russia-KinoSat_110301,50.0
512,0.0,0,1812023802.69,1812023852.69,Russia-KinoSat_110301,50.0
513,0.0,0,1812023852.69,1812023902.69,Russia-KinoSat_110301,50.0
514,0.0,0,1812023902.69,1812023937.864,Russia-KinoSat_110301,35.17400002479553
515,0.0,0,1812029508.178,1812029558.178,Russia-KinoSat_110301,50.0
516,0.0,0,1812029558.178,1812029608.178,Russia-KinoSat_110301,50.0
517,0.0,0,1812029608.178,1812029658.178,Russia-KinoSat_110301,50.0
518,0.0,0,1812029658.178,1812029708.178,Russia-KinoSat_110301,50.0
519,0.0,0,1812029708.178,1812029758.178,Russia-KinoSat_110301,50.0
520,0.0,0,1812029758.178,1812029808.178,Russia-KinoSat_110301,50.0
521,0.0,0,1812029808.178,1812029858.178,Russia-KinoSat_110301,50.0
522,1.0,1243,1812029858.178,1812029860.605,Russia-KinoSat_110301,2.427000045776367
523,0.0,0,1812035310.792,1812035360.792,Russia-KinoSat_110301,50.0
524,0.0,0,1812035360.792,1812035410.792,Russia-KinoSat_110301,50.0
525,0.0,0,1812035410.792,1812035460.792,Russia-KinoSat_110301,50.0
526,0.0,0,1812035460.792,1812035510.792,Russia-KinoSat_110301,50.0
527,0.0,0,1812035510.792,1812035560.792,Russia-KinoSat_110301,50.0
528,0.0,0,1812035560.792,1812035610.792,Russia-KinoSat_110301,50.0
529,0.0,0,1812035610.792,1812035660.792,Russia-KinoSat_110301,50.0
530,1.0,10622,1812035660.792,1812035681.539,Russia-KinoSat_110301,20.746999979019165
531,0.0,0,1812041041.195,1812041091.195,Russia-KinoSat_110301,50.0
532,0.0,0,1812041091.195,1812041141.195,Russia-KinoSat_110301,50.0
533,0.0,0,1812041141.195,1812041191.195,Russia-KinoSat_110301,50.0
534,0.0,0,1812041191.195,1812041241.195,Russia-KinoSat_110301,50.0
535,0.0,0,1812041241.195,1812041291.195,Russia-KinoSat_110301,50.0
536,0.0,0,1812041291.195,1812041341.195,Russia-KinoSat_110301,50.0
537,1.0,1050,1812041341.195,1812041343.245,Russia-KinoSat_110301,2.049999952316284
538,1.0,-6400,1812041343.245,1812041393.245,Moscow-KinoSat_110301,50.0
539,1.0,-6400,1812041393.245,1812041443.245,Moscow-KinoSat_110301,50.0
540,1.0,-115,1812041443.245,1812041466.029,Moscow-KinoSat_110301,22.784000158309937
541,0.0,0,1812041343.245,1812041393.245,Russia-KinoSat_110301,50.0
542,0.0,0,1812041393.245,1812041443.245,Russia-KinoSat_110301,50.0
543,1.0,11665,1812041443.245,1812041466.029,Russia-KinoSat_110301,22.784000158309937
544,1.0,-2347,1812041466.029,1812041484.369,Moscow-KinoSat_110301,18.33999991416931
545,1.0,-3318,1812046903.647,1812046929.566,Moscow-KinoSat_110301,25.918999910354614
546,1.0,-6000,1812046929.566,1812046979.566,Moscow-KinoSat_110301,50.0
548,0.0,0,1812046929.566,1812046979.566,Russia-KinoSat_110301,50.0
549,1.0,3671,1812046979.566,1812046986.736,Russia-KinoSat_110301,7.170000076293945
550,1.0,-1300,1812046986.736,1812046996.889,Moscow-KinoSat_110301,10.152999877929688
551,1.0,-2371,1812046996.889,1812047046.889,Moscow-KinoSat_110301,50.0
558,0.0,0,1812046996.889,1812047046.889,Russia-KinoSat_110301,50.0
559,0.0,0,1812047046.889,1812047096.889,Russia-KinoSat_110301,50.0
560,0.0,0,1812047096.889,1812047146.889,Russia-KinoSat_110301,50.0
561,0.0,0,1812047146.889,1812047196.889,Russia-KinoSat_110301,50.0
562,0.0,0,1812047196.889,1812047246.889,Russia-KinoSat_110301,50.0
563,1.0,25600,1812047246.889,1812047296.889,Russia-KinoSat_110301,50.0
564,1.0,518,1812047296.889,1812047297.901,Russia-KinoSat_110301,1.0120000839233398
565,1.0,-6400,1812047297.901,1812047347.901,Moscow-KinoSat_110301,50.0
566,1.0,-6400,1812047347.901,1812047397.901,Moscow-KinoSat_110301,50.0
567,1.0,-6400,1812047397.901,1812047447.901,Moscow-KinoSat_110301,50.0
568,1.0,-6400,1812047447.901,1812047497.901,Moscow-KinoSat_110301,50.0
569,1.0,-518,1812047497.901,1812047547.901,Moscow-KinoSat_110301,50.0
577,1.0,18295,1812052825.959,1812052861.692,Russia-KinoSat_110301,35.73299980163574
578,1.0,-1651,1812052861.692,1812052874.592,Moscow-KinoSat_110301,12.900000095367432
579,1.0,-6400,1812052874.592,1812052924.592,Moscow-KinoSat_110301,50.0
580,1.0,-6400,1812052924.592,1812052974.592,Moscow-KinoSat_110301,50.0
581,1.0,-3844,1812052974.592,1812053024.592,Moscow-KinoSat_110301,50.0
583,0.0,0,1812052874.592,1812052924.592,Russia-KinoSat_110301,50.0
584,0.0,0,1812052924.592,1812052974.592,Russia-KinoSat_110301,50.0
585,0.0,0,1812052974.592,1812053024.592,Russia-KinoSat_110301,50.0
