,index,start_datetime,end_datetime,origin,duration
256,328,1811832538.475,1811832544.749,Norilsk-KinoSat_110508,6.27400016784668
257,329,1811832538.475,1811832544.749,Novosib-KinoSat_110508,6.27400016784668
258,330,1811832538.475,1811832544.749,Moscow-KinoSat_110508,6.27400016784668
259,331,1811832538.475,1811832544.749,Murmansk2-KinoSat_110508,6.27400016784668
260,332,1811832538.475,1811832544.749,Murmansk1-KinoSat_110508,6.27400016784668
265,337,1811832544.749,1811832569.644,Murmansk1-KinoSat_110508,24.894999980926514
264,336,1811832544.749,1811832569.644,Murmansk2-KinoSat_110508,24.894999980926514
266,338,1811832544.749,1811832569.644,Russia-KinoSat_110508,24.894999980926514
262,334,1811832544.749,1811832569.644,Novosib-KinoSat_110508,24.894999980926514
261,333,1811832544.749,1811832569.644,Norilsk-KinoSat_110508,24.894999980926514
263,335,1811832544.749,1811832569.644,Moscow-KinoSat_110508,24.894999980926514
267,339,1811832569.644,1811832601.108,Norilsk-KinoSat_110508,31.46399998664856
268,340,1811832569.644,1811832601.108,Moscow-KinoSat_110508,31.46399998664856
269,341,1811832569.644,1811832601.108,Murmansk2-KinoSat_110508,31.46399998664856
270,342,1811832569.644,1811832601.108,Murmansk1-KinoSat_110508,31.46399998664856
271,343,1811832569.644,1811832601.108,Russia-KinoSat_110508,31.46399998664856
272,344,1811832601.108,1811832767.768,Norilsk-KinoSat_110508,166.6599998474121
273,345,1811832601.108,1811832767.768,Moscow-KinoSat_110508,166.6599998474121
274,346,1811832601.108,1811832767.768,Murmansk2-KinoSat_110508,166.6599998474121
275,347,1811832601.108,1811832767.768,Murmansk1-KinoSat_110508,166.6599998474121
278,350,1811832767.768,1811832873.634,Murmansk1-KinoSat_110508,105.86600017547607
276,348,1811832767.768,1811832873.634,Norilsk-KinoSat_110508,105.86600017547607
277,349,1811832767.768,1811832873.634,Murmansk2-KinoSat_110508,105.86600017547607
279,351,1811832873.634,1811832978.55,Murmansk2-KinoSat_110508,104.91599988937378
280,352,1811832873.634,1811832978.55,Murmansk1-KinoSat_110508,104.91599988937378
281,354,1811837778.777,1811837986.859,Moscow-KinoSat_110508,208.08200001716614
282,357,1811837986.859,1811838486.859,Moscow-KinoSat_110508,500.0
284,358,1811837986.859,1811838486.859,Murmansk2-KinoSat_110508,500.0
286,359,1811837986.859,1811838486.859,Murmansk1-KinoSat_110508,500.0
283,357,1811838486.859,1811838515.465,Moscow-KinoSat_110508,28.60599994659424
285,358,1811838486.859,1811838515.465,Murmansk2-KinoSat_110508,28.60599994659424
287,359,1811838486.859,1811838515.465,Murmansk1-KinoSat_110508,28.60599994659424
288,360,1811838515.465,1811838736.286,Murmansk2-KinoSat_110508,220.82100009918213
289,361,1811838515.465,1811838736.286,Murmansk1-KinoSat_110508,220.82100009918213
290,363,1811838900.965,1811839311.283,Anadyr2-KinoSat_110508,410.3180000782013
291,364,1811843807.609,1811843889.515,Moscow-KinoSat_110508,81.9060001373291
292,367,1811843889.515,1811844153.003,Moscow-KinoSat_110508,263.48799991607666
293,368,1811843889.515,1811844153.003,Murmansk1-KinoSat_110508,263.48799991607666
294,369,1811843889.515,1811844153.003,Murmansk2-KinoSat_110508,263.48799991607666
295,370,1811844153.003,1811844487.843,Murmansk1-KinoSat_110508,334.8399999141693
296,371,1811844153.003,1811844487.843,Murmansk2-KinoSat_110508,334.8399999141693
297,373,1811844603.818,1811845103.818,Anadyr2-KinoSat_110508,500.0
298,373,1811845103.818,1811845312.202,Anadyr2-KinoSat_110508,208.38399982452393
299,375,1811850006.111,1811850152.715,Murmansk1-KinoSat_110508,146.60399985313416
300,376,1811850006.111,1811850152.715,Murmansk2-KinoSat_110508,146.60399985313416
301,378,1811850354.012,1811850508.061,Anadyr2-KinoSat_110508,154.04900002479553
302,381,1811850508.061,1811851008.061,Magadan1-KinoSat_110508,500.0
304,382,1811850508.061,1811851008.061,Magadan2-KinoSat_110508,500.0
306,383,1811850508.061,1811851008.061,Anadyr2-KinoSat_110508,500.0
303,381,1811851008.061,1811851130.345,Magadan1-KinoSat_110508,122.28399991989136
305,382,1811851008.061,1811851130.345,Magadan2-KinoSat_110508,122.28399991989136
307,383,1811851008.061,1811851130.345,Anadyr2-KinoSat_110508,122.28399991989136
308,384,1811851130.345,1811851189.352,Magadan1-KinoSat_110508,59.00699996948242
309,385,1811851130.345,1811851189.352,Magadan2-KinoSat_110508,59.00699996948242
310,387,1811856108.439,1811856245.765,Anadyr2-KinoSat_110508,137.32600021362305
312,391,1811856245.765,1811856282.345,Magadan2-KinoSat_110508,36.579999923706055
313,392,1811856245.765,1811856282.345,Anadyr2-KinoSat_110508,36.579999923706055
311,390,1811856245.765,1811856282.345,Magadan1-KinoSat_110508,36.579999923706055
314,393,1811856282.345,1811856497.681,Magadan1-KinoSat_110508,215.33599996566772
315,394,1811856282.345,1811856497.681,Norilsk-KinoSat_110508,215.33599996566772
316,395,1811856282.345,1811856497.681,Magadan2-KinoSat_110508,215.33599996566772
317,396,1811856282.345,1811856497.681,Anadyr2-KinoSat_110508,215.33599996566772
318,397,1811856497.681,1811856827.091,Magadan1-KinoSat_110508,329.4100000858307
319,398,1811856497.681,1811856827.091,Magadan2-KinoSat_110508,329.4100000858307
320,399,1811856497.681,1811856827.091,Anadyr2-KinoSat_110508,329.4100000858307
321,400,1811856827.091,1811857020.805,Magadan1-KinoSat_110508,193.71399998664856
322,401,1811856827.091,1811857020.805,Magadan2-KinoSat_110508,193.71399998664856
323,403,1811861845.693,1811861980.712,Anadyr2-KinoSat_110508,135.01899981498718
325,405,1811861980.712,1811862007.655,Anadyr2-KinoSat_110508,26.943000078201294
324,404,1811861980.712,1811862007.655,Norilsk-KinoSat_110508,26.943000078201294
326,409,1811862007.655,1811862233.634,Magadan1-KinoSat_110508,225.97900009155273
327,410,1811862007.655,1811862233.634,Norilsk-KinoSat_110508,225.97900009155273
328,411,1811862007.655,1811862233.634,Magadan2-KinoSat_110508,225.97900009155273
329,412,1811862007.655,1811862233.634,Anadyr2-KinoSat_110508,225.97900009155273
330,413,1811862233.634,1811862371.687,Magadan1-KinoSat_110508,138.05299997329712
331,414,1811862233.634,1811862371.687,Norilsk-KinoSat_110508,138.05299997329712
332,415,1811862233.634,1811862371.687,Magadan2-KinoSat_110508,138.05299997329712
333,416,1811862233.634,1811862371.687,Anadyr2-KinoSat_110508,138.05299997329712
334,417,1811862233.634,1811862371.687,Irkutsk-KinoSat_110508,138.05299997329712
340,423,1811862371.687,1811862443.02,Irkutsk-KinoSat_110508,71.33299994468689
339,422,1811862371.687,1811862443.02,Anadyr2-KinoSat_110508,71.33299994468689
338,421,1811862371.687,1811862443.02,Magadan2-KinoSat_110508,71.33299994468689
337,420,1811862371.687,1811862443.02,Novosib-KinoSat_110508,71.33299994468689
